id,name,description,cost,category_id,shop_id,photo,identification,ref_link
240,"Nanoha Takamachi Swimsuit Ver. PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5729,1,"Fast Anime Studio",144856.jpg,3,https://fast-anime.ru/Figures/4346
241,"Yukimura Sanada & Gotou Matabe GK","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",2712,1,"Fast Anime Studio",145414.jpg,3,https://fast-anime.ru/Figures/4378
242,"Kanu Unchou GK 2","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",9520,1,"Fast Anime Studio",145721.jpg,3,https://fast-anime.ru/Figures/5781
243,"Akane Isshiki Uniform Ver. & Wanko PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",7174,1,"Fast Anime Studio",162849.jpg,3,https://fast-anime.ru/Figures/5782
244,"Himawari Shinomiya Uniform PVC Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5882,1,"Fast Anime Studio",162856.jpg,3,https://fast-anime.ru/Figures/5792
245,"Artfx J Marik Ishtar PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",7421,1,"Fast Anime Studio",162996.jpg,3,https://fast-anime.ru/Figures/11940
246,"Magical Girl Lyrical Nanoha As - Fate Testarossa","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5228,1,"Fast Anime Studio",100261622.jpg,3,https://fast-anime.ru/Figures/6545
247,"Sir Francis Drake PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",9758,1,"Fast Anime Studio",172522.jpg,3,https://fast-anime.ru/Figures/6622
248,"Valkyrie no Densetsu - Valkyrie","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",2882,1,"Fast Anime Studio",173829.jpg,3,https://fast-anime.ru/Figures/6707
249,"Dororon Enma-kun Me-ramera: Yukiko-Hime Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",6375,1,"Fast Anime Studio",174794.jpg,3,https://fast-anime.ru/Figures/7068
250,"Super Action Kiss","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4913,1,"Fast Anime Studio",180084.jpg,3,https://fast-anime.ru/Figures/7469
251,"Variable Action Heroes ONE PIECE Portgas D. Ace","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",8152,1,"Fast Anime Studio",100264623.jpg,3,https://fast-anime.ru/Figures/7516
252,"Percival PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",19049,1,"Fast Anime Studio",186325.jpg,3,https://fast-anime.ru/Figures/7602
253,"RAH Saber EXTRA","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",20825,1,"Fast Anime Studio",187722.jpg,3,https://fast-anime.ru/Figures/7605
254,"Hyakki Yakou Colonel Origa (Olga)","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",11705,1,"Fast Anime Studio",187772.jpg,3,https://fast-anime.ru/Figures/7672
255,"Tricycle Racer Candy Blue Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",10736,1,"Fast Anime Studio",188996.jpg,3,https://fast-anime.ru/Figures/7698
256,"Brilliant Summer: Saya Natsuki","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",14357,1,"Fast Anime Studio",189462.jpg,3,https://fast-anime.ru/Figures/7827
257,"RAH Hatsune Miku Project DIVA F Honey Whip Standard ver","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",24302,1,"Fast Anime Studio",192018.jpg,3,https://fast-anime.ru/Figures/7897
258,"Super Action Ajin: IBM Kei Nagai Ver.:IBM Sato Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",5806,1,"Fast Anime Studio",194480.jpg,3,https://fast-anime.ru/Figures/8010
259,"Walkure Romanze More & More: Bertille Althusser Tan Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",16065,1,"Fast Anime Studio",196499.jpg,3,https://fast-anime.ru/Figures/8030
260,"K Missing Kings: Saruhiko Fushimi PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",10005,1,"Fast Anime Studio",196683.jpg,3,https://fast-anime.ru/Figures/8284
261,"Mighty Wife Mary Asahina PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",13073,1,"Fast Anime Studio",201452.jpg,3,https://fast-anime.ru/Figures/8408
262,"Love Live! School Idol Festival: Hanayo Koizumi PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",12674,1,"Fast Anime Studio",204140.jpg,3,https://fast-anime.ru/Figures/8423
263,"Kancolle: Alloy Shimakaze","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",11781,1,"Fast Anime Studio",204381.jpg,3,https://fast-anime.ru/Figures/8446
264,"Touken Ranbu -Online-: Yamatonokami Yasusada PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",9359,1,"Fast Anime Studio",204879.jpg,3,https://fast-anime.ru/Figures/8518
265,"Shirobako: Ema Yasuhara PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",10651,1,"Fast Anime Studio",212555.jpg,3,https://fast-anime.ru/Figures/8638
266,"Touken Ranbu -ONLINE-: Okurikara PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",9843,1,"Fast Anime Studio",207695.jpg,3,https://fast-anime.ru/Figures/9055
267,"King of Prism by PrettyRhythm: Taiga Kougami PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",7829,1,"Fast Anime Studio",215066.jpg,3,https://fast-anime.ru/Figures/9155
268,"Nendoroid Co-de Mikazuki Munechika: Uchiban Co-de","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",2882,1,"Fast Anime Studio",216525.jpg,3,https://fast-anime.ru/Figures/9165
269,"Figma Masaru Hananakajima","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4437,1,"Fast Anime Studio",216761.jpg,3,https://fast-anime.ru/Figures/9173
270,"Ayaka Futaba illustration by saitom","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",10897,1,"Fast Anime Studio",216925.jpg,3,https://fast-anime.ru/Figures/9215
271,"Yatterman: Doronjo Design Arranged By Otogi Nekomu PVC","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",19049,1,"Fast Anime Studio",217262.jpg,3,https://fast-anime.ru/Figures/9548
272,"Nendoroid More: Dress Up Suits: 1 Box (6pcs)","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4352,1,"Fast Anime Studio",223787.jpg,3,https://fast-anime.ru/Figures/9573
273,"MensHdge. Technical statue No.31 Attack on Titan: Jean Kirstein","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",13073,1,"Fast Anime Studio",224128.jpg,3,https://fast-anime.ru/Figures/9719
274,"Arpeggio of Blue Steel: Mental Model Takao Overknee Ver.","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",10736,1,"Fast Anime Studio",226332.jpg,3,https://fast-anime.ru/Figures/9852
275,"Ensemble Stars!: Chiaki Morisawa [Exclusive Sale]","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",3987,1,"Fast Anime Studio",228072.jpg,3,https://fast-anime.ru/Figures/9872
276,"Funko POP! Animation - Seraph Of The End: Ferid Bathory","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",1012,1,"Fast Anime Studio",228275.jpg,3,https://fast-anime.ru/Figures/9878
277,"Figma Shoyo Hinata","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",4837,1,"Fast Anime Studio",228330.jpg,3,https://fast-anime.ru/Figures/9883
278,"Dagashi Kashi: Saya Endo","Фигурка от магазина Fast Anime Studio. Дополнительные детали уточняйте у продавца.",11059,1,"Fast Anime Studio",228364.jpg,3,https://fast-anime.ru/Figures/9998
